"from_index","to_index","from_id","to_id","edge_dissimilarity","boundary_prob","w_posterior","boundary_median"
4,32,"butte","plumas",0.139562763468961,0,1,0
18,32,"lassen","plumas",0,0,1,0
13,33,"imperial","riverside",0.372167369250562,0,1,0
30,33,"orange","riverside",0.162823224047121,0,1,0
3,34,"amador","sacramento",0.767595199079284,0,1,0
7,34,"contra costa","sacramento",0.767595199079284,0,1,0
9,34,"el dorado","sacramento",0,0,1,0
31,34,"placer","sacramento",1.60497177989305,0.6549,0,1
10,35,"fresno","san benito",2.00039960972177,0.9067,0,1
24,35,"merced","san benito",1.37236717411145,0.1674,1,0
27,35,"monterey","san benito",0.02326046057816,0,1,0
14,36,"inyo","san bernardino",0.279125526937922,0,1,0
15,36,"kern","san bernardino",0.209344145203441,0,1,0
19,36,"los angeles","san bernardino",0.511730132719523,0,1,0
30,36,"orange","san bernardino",0.628032435610323,0,1,0
33,36,"riverside","san bernardino",0.465209211563202,0,1,0
13,37,"imperial","san diego",0.186083684625281,0,1,0
30,37,"orange","san diego",0.02326046057816,0,1,0
33,37,"riverside","san diego",0.186083684625281,0,1,0
1,39,"alameda","san joaquin",0.534990593297683,0,1,0
3,39,"amador","san joaquin",0.279125526937922,0,1,0
5,39,"calaveras","san joaquin",0.279125526937922,0,1,0
7,39,"contra costa","san joaquin",0.279125526937922,0,1,0
34,39,"sacramento","san joaquin",0.488469672141362,0,1,0
15,40,"kern","san luis obispo",0.395427829828722,0,1,0
16,40,"kings","san luis obispo",0.209344145203441,0,1,0
27,40,"monterey","san luis obispo",0.558251053875843,0,1,0
38,41,"san francisco","san mateo",0.953678883704565,0.0234,1,0
15,42,"kern","santa barbara",0.837376580813764,0,1,0
40,42,"san luis obispo","santa barbara",0.441948750985042,0,1,0
1,43,"alameda","santa clara",0.674553356766644,0,1,0
24,43,"merced","santa clara",1.81431592509649,0.8637,0,1
35,43,"san benito","santa clara",0.441948750985042,0,1,0
39,43,"san joaquin","santa clara",1.20954395006433,0.1431,1,0
41,43,"san mateo","santa clara",0.441948750985042,0,1,0
27,44,"monterey","santa cruz",0.02326046057816,0,1,0
35,44,"san benito","santa cruz",0,0,1,0
41,44,"san mateo","santa cruz",0.883897501970084,0,1,0
43,44,"santa clara","santa cruz",0.441948750985042,0,1,0
18,45,"lassen","shasta",1.23280441064249,0.1504,1,0
25,45,"modoc","shasta",1.23280441064249,0.1504,1,0
32,45,"plumas","shasta",1.23280441064249,0.1504,1,0
18,46,"lassen","sierra",0,0,1,0
29,46,"nevada","sierra",0,0,1,0
32,46,"plumas","sierra",0,0,1,0
8,47,"del norte","siskiyou",0,0,1,0
12,47,"humboldt","siskiyou",2.39582743955049,0.9627,0,1
25,47,"modoc","siskiyou",2.18648329434705,0.9394,0,1
45,47,"shasta","siskiyou",0.953678883704564,0.0234,1,0
7,48,"contra costa","solano",0.255865066359761,0,1,0
28,48,"napa","solano",0.953678883704565,0.0234,1,0
34,48,"sacramento","solano",1.02346026543905,0.0614,1,0
17,49,"lake","sonoma",2.97733895400449,0.9841,0,1
21,49,"marin","sonoma",0.883897501970084,0,1,0
23,49,"mendocino","sonoma",0.534990593297683,0,1,0
28,49,"napa","sonoma",0.674553356766643,0,1,0
1,50,"alameda","stanislaus",1.16302302890801,0.126,1,0
5,50,"calaveras","stanislaus",0.907157962548245,0,1,0
22,50,"mariposa","stanislaus",0.628032435610323,0,1,0
24,50,"merced","stanislaus",0.0232604605781604,0,1,0
39,50,"san joaquin","stanislaus",0.628032435610323,0,1,0
43,50,"santa clara","stanislaus",1.83757638567465,0.8697,0,1
4,51,"butte","sutter",0.232604605781601,0,1,0
6,51,"colusa","sutter",0.930418423126404,0.0123,1,0
31,51,"placer","sutter",1.37236717411145,0.1674,1,0
34,51,"sacramento","sutter",0.232604605781601,0,1,0
4,52,"butte","tehama",0.697813817344803,0,1,0
11,52,"glenn","tehama",0,0,1,0
23,52,"mendocino","tehama",0.907157962548244,0,1,0
32,52,"plumas","tehama",0.837376580813764,0,1,0
45,52,"shasta","tehama",0.395427829828723,0,1,0
12,53,"humboldt","trinity",2.39582743955049,0.9627,0,1
23,53,"mendocino","trinity",2.25626467608153,0.95,0,1
45,53,"shasta","trinity",0.953678883704564,0.0234,1,0
47,53,"siskiyou","trinity",0,0,1,0
52,53,"tehama","trinity",1.34910671353329,0.1643,1,0
10,54,"fresno","tulare",0.511730132719523,0,1,0
14,54,"inyo","tulare",1.00019980486088,0.05,1,0
15,54,"kern","tulare",0.511730132719522,0,1,0
16,54,"kings","tulare",0.697813817344803,0,1,0
2,55,"alpine","tuolumne",1.53519039815857,0.2098,1,0
5,55,"calaveras","tuolumne",1.53519039815857,0.2098,1,0
20,55,"madera","tuolumne",2.00039960972177,0.9067,0,1
22,55,"mariposa","tuolumne",0,0,1,0
24,55,"merced","tuolumne",0.651292896188483,0,1,0
26,55,"mono","tuolumne",1.53519039815857,0.2098,1,0
50,55,"stanislaus","tuolumne",0.628032435610323,0,1,0
15,56,"kern","ventura",1.00019980486088,0.05,1,0
19,56,"los angeles","ventura",0.279125526937921,0,1,0
42,56,"santa barbara","ventura",0.162823224047121,0,1,0
6,57,"colusa","yolo",1.72127408278385,0.8323,0,1
17,57,"lake","yolo",3.25646448094242,0.9882,0,1
28,57,"napa","yolo",0.953678883704565,0.0234,1,0
34,57,"sacramento","yolo",1.02346026543905,0.0614,1,0
48,57,"solano","yolo",0,0,1,0
51,57,"sutter","yolo",0.790855659657444,0,1,0
4,58,"butte","yuba",1.48866947700225,0.1851,1,0
29,58,"nevada","yuba",1.62823224047121,0.7842,0,1
31,58,"placer","yuba",3.0936412568953,0.9864,0,1
32,58,"plumas","yuba",1.62823224047121,0.7842,0,1
46,58,"sierra","yuba",1.62823224047121,0.7842,0,1
51,58,"sutter","yuba",1.72127408278385,0.8323,0,1
