from_index0,to_index0,from_id,to_id,edge_dissimilarity,boundary_prob_abi,boundary_median_abi,boundary_prob,boundary_median_dagar
12,16,S02000272,S02000276,0.037419915,0.0,0,0.0,0
13,16,S02000273,S02000276,0.0,0.0,0,0.0,0
13,19,S02000273,S02000279,0.14967954,0.0,0,0.0,0
14,15,S02000274,S02000275,0.5238786,0.0,0,0.0,0
14,17,S02000274,S02000277,1.5342159,0.88754,1,0.9999,1
14,23,S02000274,S02000283,0.8980776,0.59062,1,0.0,0
14,112,S02000274,S02000923,0.37419897,0.0,0,0.0,0
14,113,S02000274,S02000925,0.78581786,0.42073,0,0.0,0
14,115,S02000274,S02000927,0.07483983,0.0,0,0.0,0
15,17,S02000275,S02000277,1.0103374,0.70075,1,0.0,0
15,21,S02000275,S02000281,0.33677912,0.0,0,0.0,0
16,19,S02000276,S02000279,0.14967954,0.0,0,0.0,0
16,24,S02000276,S02000284,0.93549746,0.63225,1,0.0,0
16,25,S02000276,S02000285,0.037419915,0.0,0,0.0,0
17,20,S02000277,S02000280,0.5987184,0.0,0,0.0,0
17,21,S02000277,S02000281,0.6735582,0.16573,0,0.0,0
17,23,S02000277,S02000283,0.6361383,0.08193,0,0.0,0
18,19,S02000278,S02000279,0.22451937,0.0,0,0.0,0
18,21,S02000278,S02000281,0.67355824,0.16573,0,0.0,0
18,27,S02000278,S02000287,0.07483971,0.0,0,0.0,0
19,22,S02000279,S02000282,0.07483983,0.0,0,0.0,0
19,24,S02000279,S02000284,0.7858179,0.42073,0,0.0,0
19,27,S02000279,S02000287,0.14967966,0.0,0,0.0,0
19,108,S02000279,S02000713,1.2722766,0.83553,1,0.9916,1
20,21,S02000280,S02000281,0.0748398,0.0,0,0.0,0
20,23,S02000280,S02000283,0.037419915,0.0,0,0.0,0
21,23,S02000281,S02000283,0.037419885,0.0,0,0.0,0
21,26,S02000281,S02000286,0.5987184,0.0,0,0.0,0
21,27,S02000281,S02000287,0.74839795,0.34585,0,0.0,0
22,24,S02000282,S02000284,0.86065775,0.5421,1,0.0,0
24,25,S02000284,S02000285,0.89807755,0.59062,1,0.0,0
25,125,S02000285,S02001193,0.2993592,0.0,0,0.0,0
26,27,S02000286,S02000287,0.14967954,0.0,0,0.0,0
28,29,S02000611,S02000613,0.2993592,0.0,0,0.0,0
28,32,S02000611,S02000620,1.459376,0.87591,1,0.9995,1
28,36,S02000611,S02000630,0.9729173,0.66907,1,0.0,0
28,37,S02000611,S02000632,1.2722765,0.83553,1,0.9916,1
29,30,S02000613,S02000618,0.5238786,0.0,0,0.0,0
29,33,S02000613,S02000623,1.0477573,0.72822,1,0.7536,1
29,37,S02000613,S02000632,0.9729174,0.66907,1,0.0,0
30,33,S02000618,S02000623,0.52387863,0.0,0,0.0,0
30,34,S02000618,S02000626,0.8232378,0.48362,0,0.0,0
30,40,S02000618,S02000636,0.52387863,0.0,0,0.0,0
30,43,S02000618,S02000645,0.52387863,0.0,0,0.0,0
31,38,S02000619,S02000633,0.37419903,0.0,0,0.0,0
31,39,S02000619,S02000635,0.97291744,0.66907,1,0.0,0
32,35,S02000620,S02000629,0.037419796,0.0,0,0.0,0
32,36,S02000620,S02000630,0.48645866,0.0,0,0.0,0
32,38,S02000620,S02000633,1.160017,0.79302,1,0.9424,1
33,34,S02000623,S02000626,1.3471165,0.85436,1,0.9985,1
33,37,S02000623,S02000632,2.0206747,0.92397,1,1.0,1
33,40,S02000623,S02000636,0.0,0.0,0,0.0,0
33,41,S02000623,S02000640,1.9458349,0.92048,1,1.0,1
34,40,S02000626,S02000636,1.3471165,0.85436,1,0.9985,1
35,36,S02000629,S02000630,0.44903886,0.0,0,0.0,0
35,38,S02000629,S02000633,1.1974368,0.81004,1,0.96,1
35,42,S02000629,S02000643,0.6735581,0.16573,0,0.0,0
36,37,S02000630,S02000632,0.2993592,0.0,0,0.0,0
36,42,S02000630,S02000643,1.122597,0.77414,1,0.9205,1
37,41,S02000632,S02000640,0.07483977,0.0,0,0.0,0
37,42,S02000632,S02000643,0.8232378,0.48362,0,0.0,0
38,39,S02000633,S02000635,1.3471165,0.85436,1,0.9985,1
38,42,S02000633,S02000643,0.5238787,0.0,0,0.0,0
38,45,S02000633,S02000647,1.2722766,0.83553,1,0.9916,1
38,46,S02000633,S02000648,1.1225971,0.77414,1,0.9205,1
39,45,S02000635,S02000647,0.07483983,0.0,0,0.0,0
39,54,S02000635,S02000658,1.3471164,0.85436,1,0.9985,1
40,41,S02000636,S02000640,1.9458349,0.92048,1,1.0,1
40,43,S02000636,S02000645,0.0,0.0,0,0.0,0
40,44,S02000636,S02000646,2.694233,0.94545,1,1.0,1
41,42,S02000640,S02000643,0.89807755,0.59062,1,0.0,0
41,44,S02000640,S02000646,0.748398,0.34585,0,0.0,0
41,51,S02000640,S02000654,0.56129843,0.0,0,0.0,0
42,46,S02000643,S02000648,0.5987184,0.0,0,0.0,0
42,51,S02000643,S02000654,0.33677912,0.0,0,0.0,0
42,53,S02000643,S02000657,1.2348566,0.82379,1,0.9718,1
43,44,S02000645,S02000646,2.694233,0.94545,1,1.0,1
43,49,S02000645,S02000652,3.2555313,0.95511,1,1.0,1
43,50,S02000645,S02000653,1.9832547,0.92233,1,1.0,1
43,57,S02000645,S02000662,2.694233,0.94545,1,1.0,1
44,49,S02000646,S02000652,0.5612984,0.0,0,0.0,0
44,51,S02000646,S02000654,0.18709958,0.0,0,0.0,0
44,58,S02000646,S02000663,0.44903886,0.0,0,0.0,0
45,46,S02000647,S02000648,0.14967954,0.0,0,0.0,0
45,47,S02000647,S02000650,1.5716357,0.89196,1,0.9999,1
45,54,S02000647,S02000658,1.4219562,0.8691,1,0.9991,1
46,47,S02000648,S02000650,1.7213154,0.90675,1,1.0,1
46,53,S02000648,S02000657,0.63613826,0.08193,0,0.0,0
46,55,S02000648,S02000659,1.3471164,0.85436,1,0.9985,1
47,54,S02000650,S02000658,0.1496796,0.0,0,0.0,0
47,55,S02000650,S02000659,0.37419897,0.0,0,0.0,0
48,52,S02000651,S02000655,0.037419915,0.0,0,0.0,0
48,56,S02000651,S02000661,0.4116189,0.0,0,0.0,0
48,60,S02000651,S02000665,0.037419885,0.0,0,0.0,0
49,57,S02000652,S02000662,0.5612984,0.0,0,0.0,0
49,58,S02000652,S02000663,1.0103372,0.70075,1,0.0,0
49,69,S02000652,S02000674,2.207774,0.93155,1,1.0,1
50,57,S02000653,S02000662,0.7109781,0.25664,0,0.0,0
50,69,S02000653,S02000674,0.9354975,0.63225,1,0.0,0
51,53,S02000654,S02000657,0.89807755,0.59062,1,0.0,0
51,58,S02000654,S02000663,0.2619393,0.0,0,0.0,0
51,62,S02000654,S02000667,0.9354974,0.63225,1,0.0,0
52,54,S02000655,S02000658,0.1496796,0.0,0,0.0,0
52,60,S02000655,S02000665,0.0748398,0.0,0,0.0,0
52,64,S02000655,S02000669,0.9354975,0.63225,1,0.0,0
53,55,S02000657,S02000659,0.7109781,0.25664,0,0.0,0
53,62,S02000657,S02000667,0.037419856,0.0,0,0.0,0
54,55,S02000658,S02000659,0.22451939,0.0,0,0.0,0
54,61,S02000658,S02000666,1.2348566,0.82379,1,0.9718,1
54,64,S02000658,S02000669,0.78581786,0.42073,0,0.0,0
54,65,S02000658,S02000670,0.5987184,0.0,0,0.0,0
54,71,S02000658,S02000676,1.2722766,0.83553,1,0.9916,1
55,61,S02000659,S02000666,1.0103372,0.70075,1,0.0,0
55,62,S02000659,S02000667,0.67355824,0.16573,0,0.0,0
55,73,S02000659,S02000678,1.4219562,0.8691,1,0.9991,1
56,59,S02000661,S02000664,0.5238786,0.0,0,0.0,0
56,60,S02000661,S02000665,0.44903877,0.0,0,0.0,0
57,69,S02000662,S02000674,1.6464756,0.89989,1,1.0,1
58,62,S02000663,S02000667,0.6735581,0.16573,0,0.0,0
58,69,S02000663,S02000674,1.1974367,0.81004,1,0.96,1
58,90,S02000663,S02000695,2.1703541,0.93028,1,1.0,1
58,112,S02000663,S02000923,2.0580945,0.9257,1,1.0,1
59,60,S02000664,S02000665,0.0748398,0.0,0,0.0,0
59,63,S02000664,S02000668,0.0748398,0.0,0,0.0,0
59,66,S02000664,S02000671,0.2619393,0.0,0,0.0,0
59,67,S02000664,S02000672,0.5987184,0.0,0,0.0,0
59,72,S02000664,S02000677,0.8232378,0.48362,0,0.0,0
60,64,S02000665,S02000669,0.8606577,0.5421,1,0.0,0
60,67,S02000665,S02000672,0.5238786,0.0,0,0.0,0
60,70,S02000665,S02000675,0.4490388,0.0,0,0.0,0
61,62,S02000666,S02000667,0.33677906,0.0,0,0.0,0
61,65,S02000666,S02000670,0.63613826,0.08193,0,0.0,0
61,73,S02000666,S02000678,0.4116189,0.0,0,0.0,0
61,75,S02000666,S02000680,0.5612985,0.0,0,0.0,0
61,82,S02000666,S02000687,0.2993592,0.0,0,0.0,0
62,73,S02000667,S02000678,0.74839795,0.34585,0,0.0,0
62,90,S02000667,S02000695,1.496796,0.88217,1,0.9998,1
62,112,S02000667,S02000923,1.3845363,0.86194,1,0.999,1
63,66,S02000668,S02000671,0.3367791,0.0,0,0.0,0
63,68,S02000668,S02000673,1.7587353,0.90953,1,1.0,1
63,74,S02000668,S02000679,0.6735581,0.16573,0,0.0,0
63,77,S02000668,S02000682,0.5238786,0.0,0,0.0,0
64,70,S02000669,S02000675,0.4116189,0.0,0,0.0,0
64,71,S02000669,S02000676,0.4864587,0.0,0,0.0,0
64,80,S02000669,S02000685,1.2348567,0.82379,1,0.9718,1
65,71,S02000670,S02000676,0.6735582,0.16573,0,0.0,0
65,75,S02000670,S02000680,0.074839786,0.0,0,0.0,0
66,72,S02000671,S02000677,1.0851771,0.75236,1,0.8456,1
66,74,S02000671,S02000679,1.0103372,0.70075,1,0.0,0
67,70,S02000672,S02000675,0.9729174,0.66907,1,0.0,0
67,72,S02000672,S02000677,0.22451937,0.0,0,0.0,0
67,76,S02000672,S02000681,0.14967954,0.0,0,0.0,0
67,78,S02000672,S02000683,0.07483983,0.0,0,0.0,0
68,77,S02000673,S02000682,2.2826138,0.9338,1,1.0,1
68,79,S02000673,S02000684,0.4116189,0.0,0,0.0,0
68,81,S02000673,S02000686,2.3574538,0.93618,1,1.0,1
69,112,S02000674,S02000923,0.8606577,0.5421,1,0.0,0
70,78,S02000675,S02000683,1.0477573,0.72822,1,0.7536,1
70,80,S02000675,S02000685,1.6464756,0.89989,1,1.0,1
71,75,S02000676,S02000680,0.5987184,0.0,0,0.0,0
71,80,S02000676,S02000685,0.748398,0.34585,0,0.0,0
71,87,S02000676,S02000692,0.07483977,0.0,0,0.0,0
71,89,S02000676,S02000694,0.37419897,0.0,0,0.0,0
72,74,S02000677,S02000679,0.07483983,0.0,0,0.0,0
72,76,S02000677,S02000681,0.07483983,0.0,0,0.0,0
72,84,S02000677,S02000689,0.14967966,0.0,0,0.0,0
73,82,S02000678,S02000687,0.7109781,0.25664,0,0.0,0
73,90,S02000678,S02000695,2.245194,0.93271,1,1.0,1
73,92,S02000678,S02000697,0.74839795,0.34585,0,0.0,0
74,77,S02000679,S02000682,0.14967954,0.0,0,0.0,0
74,84,S02000679,S02000689,0.22451949,0.0,0,0.0,0
75,82,S02000680,S02000687,0.2619393,0.0,0,0.0,0
75,86,S02000680,S02000691,0.89807755,0.59062,1,0.0,0
75,89,S02000680,S02000694,0.9729174,0.66907,1,0.0,0
76,78,S02000681,S02000683,0.07483971,0.0,0,0.0,0
76,84,S02000681,S02000689,0.22451949,0.0,0,0.0,0
76,85,S02000681,S02000690,0.037419915,0.0,0,0.0,0
77,79,S02000682,S02000684,1.870995,0.91671,1,1.0,1
77,81,S02000682,S02000686,0.07483983,0.0,0,0.0,0
77,84,S02000682,S02000689,0.37419903,0.0,0,0.0,0
78,80,S02000683,S02000685,2.694233,0.94545,1,1.0,1
78,83,S02000683,S02000688,0.97291744,0.66907,1,0.0,0
78,85,S02000683,S02000690,0.11225963,0.0,0,0.0,0
79,81,S02000684,S02000686,1.9458349,0.92048,1,1.0,1
79,91,S02000684,S02000696,0.07483977,0.0,0,0.0,0
79,94,S02000684,S02000699,0.5238786,0.0,0,0.0,0
80,83,S02000685,S02000688,1.7213154,0.90675,1,1.0,1
80,87,S02000685,S02000692,0.67355824,0.16573,0,0.0,0
81,84,S02000686,S02000689,0.2993592,0.0,0,0.0,0
81,94,S02000686,S02000699,1.4219562,0.8691,1,0.9991,1
82,86,S02000687,S02000691,0.63613826,0.08193,0,0.0,0
82,92,S02000687,S02000697,0.037419856,0.0,0,0.0,0
83,85,S02000688,S02000690,1.0851771,0.75236,1,0.8456,1
83,87,S02000688,S02000692,1.0477571,0.72822,1,0.7536,1
83,88,S02000688,S02000693,1.8709949,0.91671,1,1.0,1
84,85,S02000689,S02000690,0.18709958,0.0,0,0.0,0
84,93,S02000689,S02000698,1.5716358,0.89196,1,0.9999,1
84,94,S02000689,S02000699,1.7213154,0.90675,1,1.0,1
84,97,S02000689,S02000702,0.37419903,0.0,0,0.0,0
84,100,S02000689,S02000705,1.3471165,0.85436,1,0.9985,1
85,88,S02000690,S02000693,2.956172,0.95039,1,1.0,1
85,95,S02000690,S02000700,2.5071332,0.9408,1,1.0,1
85,97,S02000690,S02000702,0.18709946,0.0,0,0.0,0
86,89,S02000691,S02000694,0.07483983,0.0,0,0.0,0
86,92,S02000691,S02000697,0.6735581,0.16573,0,0.0,0
87,88,S02000692,S02000693,0.8232378,0.48362,0,0.0,0
87,89,S02000692,S02000694,0.2993592,0.0,0,0.0,0
87,95,S02000692,S02000700,0.37419903,0.0,0,0.0,0
87,96,S02000692,S02000701,0.22451937,0.0,0,0.0,0
87,99,S02000692,S02000704,0.07483977,0.0,0,0.0,0
87,103,S02000692,S02000708,0.07483983,0.0,0,0.0,0
88,95,S02000693,S02000700,0.44903874,0.0,0,0.0,0
89,103,S02000694,S02000708,0.22451937,0.0,0,0.0,0
90,92,S02000695,S02000697,1.496796,0.88217,1,0.9998,1
90,112,S02000695,S02000923,0.112259686,0.0,0,0.0,0
91,94,S02000696,S02000699,0.5987184,0.0,0,0.0,0
91,98,S02000696,S02000703,0.5987184,0.0,0,0.0,0
91,102,S02000696,S02000707,0.71097803,0.25664,0,0.0,0
91,116,S02000696,S02001184,0.22451937,0.0,0,0.0,0
93,94,S02000698,S02000699,0.14967959,0.0,0,0.0,0
93,100,S02000698,S02000705,0.2245194,0.0,0,0.0,0
93,101,S02000698,S02000706,0.22451939,0.0,0,0.0,0
93,104,S02000698,S02000709,0.2993592,0.0,0,0.0,0
94,98,S02000699,S02000703,0.0,0.0,0,0.0,0
94,101,S02000699,S02000706,0.0748398,0.0,0,0.0,0
95,97,S02000700,S02000702,2.3200338,0.93504,1,1.0,1
95,99,S02000700,S02000704,0.4490388,0.0,0,0.0,0
95,105,S02000700,S02000710,1.0851771,0.75236,1,0.8456,1
96,99,S02000701,S02000704,0.29935914,0.0,0,0.0,0
96,103,S02000701,S02000708,0.14967954,0.0,0,0.0,0
96,108,S02000701,S02000713,1.1974367,0.81004,1,0.96,1
97,100,S02000702,S02000705,0.9729174,0.66907,1,0.0,0
97,105,S02000702,S02000710,1.2348567,0.82379,1,0.9718,1
98,101,S02000703,S02000706,0.0748398,0.0,0,0.0,0
98,102,S02000703,S02000707,0.112259686,0.0,0,0.0,0
98,106,S02000703,S02000711,0.8232378,0.48362,0,0.0,0
99,105,S02000704,S02000710,0.6361383,0.08193,0,0.0,0
99,108,S02000704,S02000713,0.8980776,0.59062,1,0.0,0
100,101,S02000705,S02000706,0.44903877,0.0,0,0.0,0
100,104,S02000705,S02000709,0.52387863,0.0,0,0.0,0
101,104,S02000706,S02000709,0.07483983,0.0,0,0.0,0
101,106,S02000706,S02000711,0.8980776,0.59062,1,0.0,0
102,106,S02000707,S02000711,0.7109781,0.25664,0,0.0,0
102,116,S02000707,S02001184,0.4864587,0.0,0,0.0,0
102,118,S02000707,S02001186,0.4864587,0.0,0,0.0,0
103,108,S02000708,S02000713,1.0477571,0.72822,1,0.7536,1
104,106,S02000709,S02000711,0.97291744,0.66907,1,0.0,0
104,107,S02000709,S02000712,1.3471164,0.85436,1,0.9985,1
105,108,S02000710,S02000713,0.2619393,0.0,0,0.0,0
106,107,S02000711,S02000712,2.3200338,0.93504,1,1.0,1
106,109,S02000711,S02000714,1.6838955,0.90357,1,1.0,1
106,118,S02000711,S02001186,1.1974368,0.81004,1,0.96,1
107,109,S02000712,S02000714,0.6361383,0.08193,0,0.0,0
107,110,S02000712,S02000715,0.14967966,0.0,0,0.0,0
107,111,S02000712,S02000716,0.112259746,0.0,0,0.0,0
109,111,S02000714,S02000716,0.5238786,0.0,0,0.0,0
109,118,S02000714,S02001186,0.48645866,0.0,0,0.0,0
109,121,S02000714,S02001189,1.7587352,0.90953,1,1.0,1
110,111,S02000715,S02000716,0.037419915,0.0,0,0.0,0
111,121,S02000716,S02001189,2.2826138,0.9338,1,1.0,1
111,123,S02000716,S02001191,0.9729173,0.66907,1,0.0,0
112,113,S02000923,S02000925,0.41161892,0.0,0,0.0,0
113,114,S02000925,S02000926,0.8232378,0.48362,0,0.0,0
113,115,S02000925,S02000927,0.71097803,0.25664,0,0.0,0
114,115,S02000926,S02000927,1.5342158,0.88754,1,0.9999,1
116,117,S02001184,S02001185,0.22451937,0.0,0,0.0,0
116,118,S02001184,S02001186,0.0,0.0,0,0.0,0
117,118,S02001185,S02001186,0.22451937,0.0,0,0.0,0
117,119,S02001185,S02001187,0.48645872,0.0,0,0.0,0
117,120,S02001185,S02001188,0.07483983,0.0,0,0.0,0
117,122,S02001185,S02001190,1.496796,0.88217,1,0.9998,1
118,119,S02001186,S02001187,0.7109781,0.25664,0,0.0,0
118,121,S02001186,S02001189,1.2722766,0.83553,1,0.9916,1
119,120,S02001187,S02001188,0.4116189,0.0,0,0.0,0
119,121,S02001187,S02001189,0.5612985,0.0,0,0.0,0
120,121,S02001188,S02001189,0.9729174,0.66907,1,0.0,0
120,122,S02001188,S02001190,1.4219562,0.8691,1,0.9991,1
120,125,S02001188,S02001193,1.5342158,0.88754,1,0.9999,1
121,123,S02001189,S02001191,1.3096964,0.84601,1,0.9941,1
121,125,S02001189,S02001193,0.56129843,0.0,0,0.0,0
122,125,S02001190,S02001193,0.11225963,0.0,0,0.0,0
122,126,S02001190,S02001194,0.07483983,0.0,0,0.0,0
123,125,S02001191,S02001193,1.8709949,0.91671,1,1.0,1
124,126,S02001192,S02001194,0.18709946,0.0,0,0.0,0
124,128,S02001192,S02001196,0.7858179,0.42073,0,0.0,0
124,129,S02001192,S02001197,1.1600169,0.79302,1,0.9424,1
125,126,S02001193,S02001194,0.18709946,0.0,0,0.0,0
125,131,S02001193,S02001199,1.0851771,0.75236,1,0.8456,1
126,128,S02001194,S02001196,0.9729174,0.66907,1,0.0,0
126,131,S02001194,S02001199,0.89807755,0.59062,1,0.0,0
127,130,S02001195,S02001198,0.9729174,0.66907,1,0.0,0
128,129,S02001196,S02001197,0.37419897,0.0,0,0.0,0
128,131,S02001196,S02001199,0.0748398,0.0,0,0.0,0
129,130,S02001197,S02001198,0.93549746,0.63225,1,0.0,0
129,131,S02001197,S02001199,0.44903877,0.0,0,0.0,0
130,131,S02001198,S02001199,0.4864587,0.0,0,0.0,0
130,132,S02001198,S02001200,0.33677906,0.0,0,0.0,0
131,132,S02001199,S02001200,0.1496796,0.0,0,0.0,0
131,133,S02001199,S02001201,0.4490388,0.0,0,0.0,0
132,133,S02001200,S02001201,0.2993592,0.0,0,0.0,0
